Keyword Unique ID,Account ID,Account Name,Campaign,Ad Group,Keyword,Keyword Type,Subid,Paused,Max CPC,ACCOUNT,CAMPAIGN,BRAND,BRAND+CATEGORY,ADGROUP,KEYWORD,Last Avg CPC,Last Avg Pos,Clicks,Impressions,ACCOUNT - Clicks,CAMPAIGN - Clicks,BRAND - Clicks,BRAND+CATEGORY - Clicks,ADGROUP - Clicks,KEYWORD - Clicks,Avg CPC,CTR,Est EPC,newBid,Costs,Avg Pos,number of commissions,Commission Value,ACCOUNT - Commission Value,CAMPAIGN - Commission Value,BRAND - Commission Value,BRAND+CATEGORY - Commission Value,ADGROUP - Commission Value,KEYWORD - Commission Value
39,20,b,A,D,BETA,SCIENCE,"102,8",0,30500,1,1,1,1,1,1,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,"103,9","103,9","103,9","103,9","103,9","103,9","192,03480000000002","192,03480000000002","192,03480000000002","192,03480000000002","192,03480000000002","192,03480000000002","192,03480000000002","192,03480000000002"
38,10,a,A,C,ALFA,SCIENCE,"100,2",1,30000,1,1,1,1,1,1,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,"103,8","103,8","103,8","103,8","103,8","103,8","188,034","188,034","188,034","188,034","188,034","188,034","188,034","188,034"
37,15,c,A,B,CAR,SCIENCE,"97,6",0,29500,1,1,1,1,1,1,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,"103,7","103,7","103,7","103,7","103,7","103,7","184,03320000000002","184,03320000000002","184,03320000000002","184,03320000000002","184,03320000000002","184,03320000000002","184,03320000000002","184,03320000000002"
36,20,b,A,D,GAMA,SCIENCE,95,1,29000,1,1,1,1,1,1,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,"103,6","103,6","103,6","103,6","103,6","103,6","180,03240000000002","180,03240000000002","180,03240000000002","180,03240000000002","180,03240000000002","180,03240000000002","180,03240000000002","180,03240000000002"
35,15,c,A,C,BETA,SCIENCE,"92,4",1,28500,1,1,1,1,1,1,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,"103,5","103,5","103,5","103,5","103,5","103,5","176,03160000000003","176,03160000000003","176,03160000000003","176,03160000000003","176,03160000000003","176,03160000000003","176,03160000000003","176,03160000000003"
34,10,a,A,B,ALFA,SCIENCE,"89,8",0,28000,1,1,1,1,1,1,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,"103,4","103,4","103,4","103,4","103,4","103,4","172,0308","172,0308","172,0308","172,0308","172,0308","172,0308","172,0308","172,0308"
33,20,b,A,D,CAR,SCIENCE,"87,2",1,27500,1,1,1,1,1,1,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,"103,3","103,3","103,3","103,3","103,3","103,3","168,03","168,03","168,03","168,03","168,03","168,03","168,03","168,03"
32,20,b,A,C,GAMA,SCIENCE,"84,6",1,27000,1,1,1,1,1,1,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,"103,2","103,2","103,2","103,2","103,2","103,2","164,0292","164,0292","164,0292","164,0292","164,0292","164,0292","164,0292","164,0292"
31,20,b,A,B,BETA,SCIENCE,82,0,26500,1,1,1,1,1,1,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,"103,1","103,1","103,1","103,1","103,1","103,1","160,02840000000003","160,02840000000003","160,02840000000003","160,02840000000003","160,02840000000003","160,02840000000003","160,02840000000003","160,02840000000003"
30,20,b,A,D,ALFA,SCIENCE,"79,4",0,26000,1,1,1,1,1,1,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,"103,1","103,5","103,9","104,3","104,7","105,1","156,0276","156,0276","156,0276","156,0276","156,0276","156,0276","156,0276","156,0276"
29,20,b,A,C,CAR,SCIENCE,"76,8",1,25500,1,1,1,1,1,1,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,"102,9","102,9","102,9","102,9","102,9","102,9","152,0268","152,0268","152,0268","152,0268","152,0268","152,0268","152,0268","152,0268"
28,15,c,A,B,GAMA,SCIENCE,"74,2",0,25000,1,1,1,1,1,1,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,"102,8","102,8","102,8","102,8","102,8","102,8","148,026","148,026","148,026","148,026","148,026","148,026","148,026","148,026"
27,15,c,A,D,BETA,SCIENCE,"71,6",1,24500,1,1,1,1,1,1,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,"102,7","102,7","102,7","102,7","102,7","102,7","144,0252","144,0252","144,0252","144,0252","144,0252","144,0252","144,0252","144,0252"
26,15,c,A,C,ALFA,SCIENCE,69,1,24000,1,1,1,1,1,1,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,"102,6","102,6","102,6","102,6","102,6","102,6","140,02439999999999","140,02439999999999","140,02439999999999","140,02439999999999","140,02439999999999","140,02439999999999","140,02439999999999","140,02439999999999"
25,15,c,A,B,CAR,SCIENCE,"66,4",0,23500,1,1,1,1,1,1,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,"102,5","102,5","102,5","102,5","102,5","102,5","136,02360000000002","136,02360000000002","136,02360000000002","136,02360000000002","136,02360000000002","136,02360000000002","136,02360000000002","136,02360000000002"
24,15,c,A,D,GAMA,SCIENCE,"63,8",0,23000,1,1,1,1,1,1,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,"102,4","102,4","102,4","102,4","102,4","102,4","132,02280000000002","132,02280000000002","132,02280000000002","132,02280000000002","132,02280000000002","132,02280000000002","132,02280000000002","132,02280000000002"
23,15,c,A,C,BETA,SCIENCE,"61,2",1,22500,1,1,1,1,1,1,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,"102,3","102,3","102,3","102,3","102,3","102,3","128,02200000000002","128,02200000000002","128,02200000000002","128,02200000000002","128,02200000000002","128,02200000000002","128,02200000000002","128,02200000000002"
22,15,c,A,B,ALFA,SCIENCE,"58,6",0,22000,1,1,1,1,1,1,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,"102,2","102,2","102,2","102,2","102,2","102,2","124,02120000000001","124,02120000000001","124,02120000000001","124,02120000000001","124,02120000000001","124,02120000000001","124,02120000000001","124,02120000000001"
21,15,c,A,D,CAR,SCIENCE,56,1,21500,1,1,1,1,1,1,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,"102,1","102,1","102,1","102,1","102,1","102,1","120,0204","120,0204","120,0204","120,0204","120,0204","120,0204","120,0204","120,0204"
20,15,c,A,C,GAMA,SCIENCE,"53,4",1,21000,1,1,1,1,1,1,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,"102,1","120,11","138,12","156,13","174,14","192,15","116,0196","116,0196","116,0196","116,0196","116,0196","116,0196","116,0196","116,0196"
19,15,c,A,B,BETA,SCIENCE,"50,8",0,20500,1,1,1,1,1,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,"101,9","101,9","101,9","101,9","101,9","101,9","112,01880000000001","112,01880000000001","112,01880000000001","112,01880000000001","112,01880000000001","112,01880000000001","112,01880000000001","112,01880000000001"
18,15,c,A,D,ALFA,SCIENCE,"48,2",0,20000,1,1,1,1,1,1,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"101,8","101,8","101,8","101,8","101,8","101,8","108,01800000000001","108,01800000000001","108,01800000000001","108,01800000000001","108,01800000000001","108,01800000000001","108,01800000000001","108,01800000000001"
